order_id,customer_name,customer_gender,date_of_birth,email,phone,country,city,region,pincode,customer_segment,product_category,product_name,quantity,unit_price,discount,order_date,payment_mode,order_status,revenue,flag_negative_qty,flag_invalid_discount,duplicates_order_id,duplicate_order_id
ORD11132,William Huff,Male,1978-11-06,dunnjacob@example.net,(980)550-1417x165,United States,Port Donstad,East,52468.0,Home Office,Books,Self-Help Book,5,491.01,0.0,,Net Banking,Delivered,2455.05,False,True,unique,unique
ORD12216,Justin Sanchez,Male,,brownlarry@example.com,719-272-9410x367,CANADA,Carrollbury,West,,Corporate,Books,Cook Book,5,490.14,0.0,2023-04-23,Credit Card,Returned,2450.7,False,True,unique,unique
ORD11419,Gina Jordan,Female,,singletonnicole@example.net,(419)268-0450x5211,India,Port Robert,North,68509.0,Consumer,Electronics,Bluetooth Speaker,5,488.14,0.0,,Upi,Pending,2440.7,False,True,unique,unique
ORD10903,Shannon Sims,Female,1993-10-26,hudsonglen@example.net,001-949-387-4551x35872,United States,Adamsborough,East,3289.0,Home Office,Electronics,Smartwatch,5,485.57,0.0,,Debit Card,Returned,2427.85,False,True,unique,unique
ORD12559,Pamela Aguilar,Female,,diane11@example.com,426-414-2274x0451,United States,Melissahaven,East,74649.0,Home Office,Electronics,Bluetooth Speaker,5,485.41,0.0,,Debit Card,Returned,2427.05,False,True,unique,unique
ORD10769,Kimberly Ballard,Female,,jhorton@example.com,386-494-1559x4501,CANADA,North Megan,South,,Corporate,Home & Kitchen,Cushion Cover,5,484.61,0.0,,Upi,Shipped,2423.05,False,True,unique,unique
ORD10877,James Perkins,Male,1999-05-28,osbornkelly@example.net,+1-804-245-0928,United States,Tammieville,West,4616.0,Home Office,Beauty,Sunscreen SPF50,5,481.33,0.0,,Debit Card,Cancelled,2406.65,False,True,unique,unique
ORD10728,Kathleen Brady,Female,,erin06@example.net,(735)904-0566,UNITED STATES,North Emilyburgh,East,37148.0,Home Office,Beauty,Lipstick Set,5,478.96,0.0,2024-10-18,Net Banking,Cancelled,2394.8,False,True,unique,unique
ORD10381,David Washington,Female,,brownkaren@example.org,+1-890-713-8069x84775,CANADA,Evelynmouth,East,,Home Office,Home & Kitchen,LED Lamp,5,473.18,0.0,,Cash On Delivery,Cancelled,2365.9,False,True,unique,unique
ORD12869,Stacy Nolan,Male,1993-09-08,gardnermichael@example.net,+1-468-532-7628x908,CANADA,Rodriguezstad,South,,Corporate,Home & Kitchen,Storage Box,5,468.08,0.0,,Cash On Delivery,Returned,2340.4,False,True,unique,unique
ORD11442,Kyle Richards,,,,+1-508-584-2672,India,Lake Lisafurt,South,15571.0,Corporate,Beauty,Sunscreen SPF50,5,490.18,0.05,,Net Banking,Pending,2328.36,False,True,unique,unique
